   111 -0.106600 0.046400 -0.060400 -0.023042 0.007796 -0.999704 -0.187096 -0.982336 -0.003420 -0.982072 0.186961 0.024093 0.999187
   112 -0.106600 0.046400 -0.060400 -0.187093 -0.982337 -0.003294 0.023066 -0.007672 0.999705 -0.982072 0.186961 0.024093 -0.001459
   113 -0.106600 0.046400 -0.060400 -0.023066 0.007672 -0.999705 -0.187093 -0.982337 -0.003294 -0.982072 0.186961 0.024093 0.002545
   121 -0.102000 0.063100 -0.025600 -0.001241 0.005367 -0.999985 -0.269144 -0.963088 -0.004844 -0.963099 0.269133 0.002639 1.007622
   122 -0.102000 0.063100 -0.025600 -0.001244 0.005356 -0.999985 -0.269144 -0.963088 -0.004832 -0.963099 0.269133 0.002639 0.002304
   123 -0.102000 0.063100 -0.025600 -0.269144 -0.963088 -0.004832 0.001244 -0.005356 0.999985 -0.963099 0.269133 0.002639 -0.001877
   131 -0.108500 0.030200 -0.026600 0.001180 0.002696 -0.999995 -0.086143 -0.996279 -0.002750 -0.996282 0.086145 -0.000943 1.009875
   132 -0.108500 0.030200 -0.026600 0.001157 0.002431 -0.999996 -0.086143 -0.996280 -0.002485 -0.996282 0.086145 -0.000943 -0.001140
   133 -0.108500 0.030200 -0.026600 -0.086143 -0.996280 -0.002485 -0.001157 -0.002431 0.999996 -0.996282 0.086145 -0.000943 -0.002855
   141 -0.109900 0.013100 -0.062700 -0.033089 0.002423 -0.999449 -0.022337 -0.999749 -0.001745 -0.999203 0.022268 0.033135 0.998376
   142 -0.109900 0.013100 -0.062700 -0.022332 -0.999749 -0.001574 0.033093 -0.002252 0.999450 -0.999203 0.022268 0.033135 -0.002750
   143 -0.109900 0.013100 -0.062700 -0.033093 0.002252 -0.999450 -0.022332 -0.999749 -0.001574 -0.999203 0.022268 0.033135 -0.001948
   211 -0.107400 0.032900 0.008000 -0.056527 0.008369 -0.998366 -0.099443 -0.995040 -0.002745 -0.993437 0.099125 0.057079 1.009249
   212 -0.107400 0.032900 0.008000 -0.099013 -0.995083 -0.002636 0.056111 -0.008194 0.998391 -0.993503 0.098706 0.056647 -0.002736
   213 -0.107400 0.032900 0.008000 -0.056111 0.008194 -0.998391 -0.099013 -0.995083 -0.002636 -0.993503 0.098706 0.056647 0.000937
   221 -0.098900 0.040300 0.041300 -0.342828 0.059756 -0.937496 -0.160032 -0.987102 -0.004383 -0.925666 0.148526 0.347969 1.005473
   222 -0.098900 0.040300 0.041300 -0.342830 0.059740 -0.937496 -0.160027 -0.987103 -0.004368 -0.925666 0.148526 0.347969 -0.001041
   223 -0.098900 0.040300 0.041300 -0.160027 -0.987103 -0.004368 0.342830 -0.059740 0.937496 -0.925666 0.148526 0.347969 -0.002798
   231 -0.101100 0.004400 0.040800 -0.345517 0.009209 -0.938367 0.044183 -0.998684 -0.026062 -0.937372 -0.050465 0.344655 1.004833
   232 -0.101100 0.004400 0.040800 -0.345509 0.009032 -0.938372 0.044244 -0.998685 -0.025895 -0.937372 -0.050465 0.344655 -0.000622
